London:Paris(80),Amsterdam(70),Dublin(85),Frankfurt(105),Madrid(150)
Paris:London(80),Amsterdam(75),Madrid(120),Frankfurt(80),Rome(125)
New_York:Washington_DC(55),Boston(50),Toronto(90),Chicago(150),Miami(170)
Tokyo:Seoul(145),Beijing(195),Shanghai(175),Singapore(425),Hong_Kong(240)
Sydney:Melbourne(90),Singapore(480),Hong_Kong(540),Dubai(840),Bangkok(570)
Singapore:Bangkok(150),Hong_Kong(245),Sydney(480),Tokyo(425),Dubai(440)
Dubai:Mumbai(190),Istanbul(280),Singapore(440),Cairo(235),Sydney(840)
Istanbul:Cairo(120),Moscow(170),Rome(160),Dubai(280),Frankfurt(180)
Beijing:Shanghai(130),Seoul(120),Tokyo(195),Hong_Kong(195),Bangkok(310)
Hong_Kong:Shanghai(140),Tokyo(240),Singapore(245),Bangkok(165),Sydney(540)
Moscow:Istanbul(170),Berlin(165),London(235),Beijing(450),Dubai(315)
Berlin:Amsterdam(70),Frankfurt(60),Vienna(75),Moscow(165),Paris(105)
Madrid:Paris(120),London(150),Rome(140),Berlin(165),Amsterdam(145)
Rome:Paris(125),Madrid(140),Istanbul(160),Berlin(120),Cairo(155)
Bangkok:Singapore(150),Hong_Kong(165),Tokyo(345),Sydney(570),Dubai(395)
Mumbai:Dubai(190),London(540),Singapore(320),Cairo(350),Moscow(310)
Toronto:New_York(90),Chicago(85),Boston(105),Miami(165),Los_Angeles(260)
Seoul:Tokyo(145),Beijing(120),Shanghai(110),Hong_Kong(205),Singapore(380)
Amsterdam:London(70),Paris(75),Berlin(70),Frankfurt(60),Madrid(145)
Cairo:Istanbul(120),Dubai(235),Rome(155),Mumbai(350),London(270)
Los_Angeles:San_Francisco(60),Chicago(240),New_York(330),Toronto(260),Miami(300)
Melbourne:Sydney(90),Singapore(450),Hong_Kong(510),Tokyo(655),Dubai(810)
Chicago:New_York(150),Toronto(85),Los_Angeles(240),Miami(180),Boston(135)
Shanghai:Beijing(130),Tokyo(175),Seoul(110),Hong_Kong(140),Singapore(290)
Frankfurt:Berlin(60),Amsterdam(60),Paris(65),London(105),Istanbul(180)
Miami:New_York(170),Chicago(180),Toronto(165),Los_Angeles(300),Boston(200)
Boston:New_York(50),Chicago(135),Toronto(105),Miami(200),Washington_DC(85)
Vienna:Berlin(75),Frankfurt(85),Rome(105),Moscow(165),Istanbul(140)
Washington_DC:New_York(55),Boston(85),Chicago(115),Miami(145),Toronto(95)
San_Francisco:Los_Angeles(60),Chicago(265),New_York(350),Toronto(285),Miami(330)
